  ID                   comp_ID   pair_ID   obs_time              PA        PA_err    sep        sep_err   deltamag   deltamag_err   band    instru   
  HD148937             2         Aa-Ab     20.124.412            280.40    2.53      21.05      0.67      0.00       0.02           H       PIO      
  HD148937             1         A-B       n/a                   -999.00   -999.00   2900.00    -999.00   3.80       -999.00        V       MAS98    
  HD148937             1         A-B       2011.1826-2013.5801   267.98    1.50      3332.07    64.69     5.39       0.15           H       IMG      
  HD148937             1         A-B       2011.1826-2013.5801   267.98    1.50      3332.07    64.69     5.62       0.38           Ks      IMG      
  HD149038             1         A-B       20.124.637            158.33    2.05      1533.70    47.82     5.89       0.21           H       IMG      
  HD149038             1         A-B       20.124.637            158.33    2.05      1533.70    47.82     6.11       0.16           Ks      IMG      
  HD149038             2         A-C       20.124.637            153.40    1.15      6108.65    61.54     6.80       0.20           H       IMG      
  HD149038             2         A-C       20.124.637            153.40    1.15      6108.65    61.54     6.18       0.15           Ks      IMG      
  HD149404             1         A-B       20.124.631            120.06    1.52      6819.29    136.50    7.17       0.15           Ks      IMG      
  HD149757             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD149452             1         A-B       20.124.630            247.30    1.99      2652.51    79.61     4.40       0.14           Ks      IMG      
  HD150135             1         Aa-Ab     20.124.413            255.26    22.32     0.95       0.24      0.21       0.20           H       PIO      
  HD150135             2         A-B       2011.1825-2013.5802   221.26    1.15      4268.65    41.99     3.34       0.07           H       IMG      
  HD150135             2         A B       2011.1825-2013.5802   221.26    1.15      4268.65    41.99     2.55       0.09           Ks      IMG      
  HD150136             1         AaAb-Ac   20.132.493            206.32    21.80     6.95       1.74      1.51       0.03           H       PIO      
  HD150136             2         A-B       2011.1825-2013.5802   9.05      1.47      1687.79    31.87     3.01       0.14           H       IMG      
  HD150136             2         A-B       2011.1825-2013.5802   9.05      1.47      1687.79    31.87     2.97       0.02           Ks      IMG      
  HD150136             2         A-B       n/a                   -999.00   -999.00   1600.00    -999.00   3.30       -999.00        V       MAS98    
  HD150136             3         A-C       n/a                   -999.00   -999.00   9600.00    -999.00   1.00       -999.00        V       MAS98    
  HD150136             4         A-D       n/a                   -999.00   -999.00   13400.00   -999.00   4.80       -999.00        V       MAS98    
  HD150136             5         A-E       n/a                   -999.00   -999.00   13900.00   -999.00   5.70       -999.00        V       MAS98    
  HD150136             6         A-F       n/a                   -999.00   -999.00   20800.00   -999.00   6.80       -999.00        V       MAS98    
  HD151003             1         A-B       20.124.441            259.02    5.56      1.85       0.14      1.12       0.02           H       PIO      
  HD151003             2         A-C       20.124.657            316.03    1.31      3976.60    58.70     6.38       0.27           H       IMG      
  HD151003             2         A-C       20.124.657            316.03    1.31      3976.60    58.70     5.89       0.16           Ks      IMG      
  HD150958AB           1         A-B       n/a                   -999.00   -999.00   300.00     -999.00   0.30       -999.00        V       MAS98    
  HD150958AB           1         A-B       20.061.919            245.10    -999.00   297.00     -999.00   1.70       -999.00        n/a     MAS09    
